,page,txtbox,textline,font,szie,x1,y1,x2,y2,char,xspace,yspace,concat,words,wx1,wb
417,1,12,15,XPCBJJ+CMR10,9.963,298.468,400.273,304.003,410.236,S,2.9890000000000327,0.0,False,XPS,284.215,True
423,1,12,15,XPCBJJ+CMR10,9.963,330.788,400.273,334.691,410.236,r,2.9890000000000327,0.0,False,viewer,306.992,True
427,1,12,15,XPCBJJ+CMR10,9.963,351.517,400.273,357.05199999999996,410.236,h,2.9890000000000327,0.0,False,with,337.68,True
433,1,12,15,XPCBJJ+CMR10,9.963,391.384,400.273,397.611,410.236,L,2.9879999999999995,0.0,False,OpenGL,360.041,True
440,1,12,15,XPCBJJ+CMR10,9.963,430.20599999999996,400.273,435.741,410.236,d,2.9990000000000236,0.0,False,backend,400.599,True
448,1,12,15,XPCBJJ+CMR10,9.963,474.155,400.273,477.476,410.236,-,-343.70799999999997,-11.954999999999984,False,Unicode-,438.74,True
454,1,12,16,XPCBJJ+CMR10,9.963,158.17600000000002,388.31800000000004,160.944,398.281,:,3.1880000000000166,0.0,False,based:,133.768,True
463,1,12,16,XPCBJJ+CMR10,9.963,206.222,388.31800000000004,210.649,398.281,e,3.149000000000001,0.0,False,TeX-aware,164.132,True
469,1,12,16,XPCBJJ+CMR10,9.963,235.38400000000001,388.31800000000004,239.28599999999997,398.281,r,3.158000000000044,0.0,False,editor,213.798,True
473,1,12,16,XPCBJJ+CMR10,9.963,256.281,388.31800000000004,261.816,398.281,h,3.1480000000000246,0.0,False,with,242.44400000000002,True
483,1,12,16,XPCBJJ+CMR10,9.963,303.457,388.31800000000004,308.992,398.281,d,3.1479999999999677,0.0,False,integrated,264.964,True
486,1,12,16,XPCBJJ+CMR10,9.963,326.531,388.31800000000004,333.035,398.281,F,3.1580000000000155,0.0,False,PDF,312.14,True
492,1,12,16,XPCBJJ+CMR10,9.963,359.99,388.31800000000004,363.892,398.281,r,3.1480000000000246,0.0,False,viewer,336.19300000000004,True
500,1,12,16,XPCBJJ+CMR10,9.963,407.85900000000004,388.31800000000004,411.73400000000004,398.281,t,3.1579999999999586,0.0,False,Document,367.04,True
506,1,12,16,XPCBJJ+CMR10,9.963,438.68800000000005,388.31800000000004,442.591,398.281,r,3.1480000000000246,0.0,False,viewer,414.892,True
509,1,12,16,XPCBJJ+CMR10,9.963,453.765,388.31800000000004,457.667,398.281,r,3.1480000000000246,0.0,False,for,445.73900000000003,True
513,1,12,16,XPCBJJ+CMR10,9.963,473.545,388.31800000000004,477.475,398.281,s,-343.707,-11.954999999999984,False,ﬁles,460.815,True
517,1,12,17,XPCBJJ+CMR10,9.963,144.283,376.36300000000006,148.71,386.32599999999996,e,3.326999999999998,0.0,False,like,133.768,True
520,1,12,17,XPCBJJ+CMR10,9.963,166.428,376.36300000000006,172.93200000000002,386.32599999999996,F,3.3179999999999836,0.0,False,PDF,152.037,True
523,1,12,17,XPCBJJ+CMR10,9.963,186.766,376.36300000000006,192.301,386.32599999999996,d,3.3180000000000405,0.0,False,and,176.25,True
534,1,12,17,XPCBJJ+CMR10,9.963,239.342,376.36300000000006,242.109,386.32599999999996,.,4.4339999999999975,0.0,False,Postscript.,195.61900000000003,True
540,1,12,17,XPCBJJ+CMR10,9.963,275.878,376.36300000000006,279.807,386.32599999999996,s,3.3170000000000073,0.0,False,X-Apps,246.543,True
548,1,12,17,XPCBJJ+CMR10,9.963,315.12,376.36300000000006,317.888,386.32599999999996,.,-14.754999999999995,-239.04100000000005,False,Project.,283.124,True
549,1,13,18,XPCBJJ+CMR10,9.963,303.133,137.322,308.11400000000003,147.285,1,-174.34600000000003,567.02,False,1,303.133,True
