,page,txtbox,textline,font,szie,x1,y1,x2,y2,char
140,1,2,5,WMHEFG+CMR10,9.963,180.429,659.461,184.856,669.424,e
141,1,2,5,WMHEFG+CMR10,9.963,188.174,659.461,192.048,669.424,t
142,1,2,5,WMHEFG+CMR10,9.963,192.048,659.461,196.476,669.424,e
143,1,2,5,WMHEFG+CMR10,9.963,196.476,659.461,201.734,669.424,x
144,1,2,5,WMHEFG+CMR10,9.963,201.734,659.461,205.608,669.424,t
145,1,2,5,WMHEFG+CMR10,9.963,208.93599999999998,659.461,211.703,669.424,i
146,1,2,5,WMHEFG+CMR10,9.963,211.69299999999998,659.461,217.229,669.424,n
147,1,2,5,WMHEFG+CMR10,9.963,220.55599999999998,659.461,224.43099999999998,669.424,t
148,1,2,5,WMHEFG+CMR10,9.963,224.43099999999998,659.461,229.96599999999998,669.424,h
149,1,2,5,WMHEFG+CMR10,9.963,229.96599999999998,659.461,232.733,669.424,i
150,1,2,5,WMHEFG+CMR10,9.963,232.733,659.461,236.66299999999998,669.424,s
151,1,2,5,WMHEFG+CMR10,9.963,239.98,659.461,243.91,669.424,s
152,1,2,5,WMHEFG+CMR10,9.963,243.91,659.461,248.33700000000002,669.424,e
153,1,2,5,WMHEFG+CMR10,9.963,248.33700000000002,659.461,252.764,669.424,c
154,1,2,5,WMHEFG+CMR10,9.963,252.764,659.461,256.639,669.424,t
155,1,2,5,WMHEFG+CMR10,9.963,256.639,659.461,259.406,669.424,i
156,1,2,5,WMHEFG+CMR10,9.963,259.406,659.461,264.388,669.424,o
157,1,2,5,WMHEFG+CMR10,9.963,264.388,659.461,269.923,669.424,n
158,1,2,5,WMHEFG+CMR10,9.963,269.923,659.461,272.69,669.424,.
159,1,1,2,SXMFFW+CMBX12,11.955,133.768,631.186,140.493,643.141,1
160,1,1,2,SXMFFW+CMBX12,11.955,140.493,631.186,144.22899999999998,643.141,.
161,1,1,2,SXMFFW+CMBX12,11.955,144.22899999999998,631.186,150.954,643.141,1
162,1,1,2,SXMFFW+CMBX12,11.955,164.403,631.186,174.919,643.141,H
163,1,1,2,SXMFFW+CMBX12,11.955,174.919,631.186,181.644,643.141,3
164,1,3,6,WMHEFG+CMR10,9.963,133.768,613.183,140.963,623.146,T
165,1,3,6,WMHEFG+CMR10,9.963,140.136,613.183,145.11700000000002,623.146,o
166,1,3,6,WMHEFG+CMR10,9.963,145.39600000000002,613.183,150.378,623.146,o
167,1,3,6,WMHEFG+CMR10,9.963,150.378,613.183,153.145,623.146,l
168,1,3,6,WMHEFG+CMR10,9.963,153.135,613.183,157.065,623.146,s
169,1,3,6,WMHEFG+CMR10,9.963,161.249,613.183,164.293,623.146,f
170,1,3,6,WMHEFG+CMR10,9.963,164.293,613.183,169.275,623.146,o
171,1,3,6,WMHEFG+CMR10,9.963,169.275,613.183,173.17700000000002,623.146,r
172,1,3,6,WMHEFG+CMR10,9.963,177.361,613.183,183.588,623.146,L
173,1,3,6,WMHEFG+CMR10,9.963,183.588,613.183,186.356,623.146,i
174,1,3,6,WMHEFG+CMR10,9.963,186.356,613.183,191.33700000000002,623.146,g
175,1,3,6,WMHEFG+CMR10,9.963,191.33700000000002,613.183,196.872,623.146,h
176,1,3,6,WMHEFG+CMR10,9.963,196.593,613.183,200.468,623.146,t
177,1,3,6,WMHEFG+CMR10,9.963,200.18900000000002,613.183,207.38400000000001,623.146,w
178,1,3,6,WMHEFG+CMR10,9.963,207.105,613.183,211.532,623.146,e
179,1,3,6,WMHEFG+CMR10,9.963,211.542,613.183,214.31,623.146,i
180,1,3,6,WMHEFG+CMR10,9.963,214.31,613.183,219.291,623.146,g
181,1,3,6,WMHEFG+CMR10,9.963,219.291,613.183,224.826,623.146,h
182,1,3,6,WMHEFG+CMR10,9.963,224.547,613.183,228.422,623.146,t
183,1,3,6,WMHEFG+CMR10,9.963,232.59599999999998,613.183,239.377,623.146,P
184,1,3,6,WMHEFG+CMR10,9.963,239.377,613.183,246.987,623.146,D
185,1,3,6,WMHEFG+CMR10,9.963,246.987,613.183,253.49099999999999,623.146,F
186,1,3,6,WMHEFG+CMR10,9.963,257.675,613.183,262.656,623.146,a
187,1,3,6,WMHEFG+CMR10,9.963,262.656,613.183,268.191,623.146,n
188,1,3,6,WMHEFG+CMR10,9.963,268.191,613.183,273.72700000000003,623.146,d
189,1,3,6,WMHEFG+CMR10,9.963,277.911,613.183,285.383,623.146,X
190,1,3,6,WMHEFG+CMR10,9.963,285.383,613.183,292.163,623.146,P
191,1,3,6,WMHEFG+CMR10,9.963,292.163,613.183,297.699,623.146,S
192,1,3,6,WMHEFG+CMR10,9.963,301.873,613.183,307.131,623.146,v
193,1,3,6,WMHEFG+CMR10,9.963,307.131,613.183,309.899,623.146,i
194,1,3,6,WMHEFG+CMR10,9.963,309.899,613.183,314.32599999999996,623.146,e
195,1,3,6,WMHEFG+CMR10,9.963,314.32599999999996,613.183,321.52099999999996,623.146,w
196,1,3,6,WMHEFG+CMR10,9.963,321.242,613.183,325.67,623.146,e
197,1,3,6,WMHEFG+CMR10,9.963,325.67,613.183,329.57199999999995,623.146,r
198,1,3,6,WMHEFG+CMR10,9.963,333.756,613.183,341.228,623.146,A
199,1,3,6,WMHEFG+CMR10,9.963,345.412,613.183,349.287,623.146,t
200,1,3,6,WMHEFG+CMR10,9.963,349.287,613.183,354.26800000000003,623.146,a
201,1,3,6,WMHEFG+CMR10,9.963,354.26800000000003,613.183,359.80300000000005,623.146,b
202,1,3,6,WMHEFG+CMR10,9.963,359.80300000000005,613.183,365.339,623.146,b
203,1,3,6,WMHEFG+CMR10,9.963,365.608,613.183,370.035,623.146,e
204,1,3,6,WMHEFG+CMR10,9.963,370.035,613.183,375.57,623.146,d
205,1,3,6,WMHEFG+CMR10,9.963,379.755,613.183,386.535,623.146,P
206,1,3,6,WMHEFG+CMR10,9.963,386.535,613.183,394.14599999999996,623.146,D
207,1,3,6,WMHEFG+CMR10,9.963,394.14599999999996,613.183,400.649,623.146,F
208,1,3,6,WMHEFG+CMR10,9.963,404.833,613.183,410.092,623.146,v
