,page,txtbox,textline,font,szie,x1,y1,x2,y2,char,xspace,yspace,concat,words,wx1,wb
71,1,2,4,WMHEFG+CMR10,9.963,133.768,671.416,142.07,681.3789999999999,m,0.0,0.0,True,of,474.708,False
72,1,2,4,WMHEFG+CMR10,9.963,142.07,671.416,147.05100000000002,681.3789999999999,o,0.0,0.0,True,o,142.07,False
73,1,2,4,WMHEFG+CMR10,9.963,147.05100000000002,671.416,150.98,681.3789999999999,s,0.0,0.0,True,s,147.05100000000002,False
74,1,2,4,WMHEFG+CMR10,9.963,150.98,671.416,154.855,681.3789999999999,t,3.0190000000000055,0.0,False,the,142.07,True
75,1,2,4,WMHEFG+CMR10,9.963,157.874,671.416,162.855,681.3789999999999,o,0.0,0.0,True,o,157.874,False
76,1,2,4,WMHEFG+CMR10,9.963,162.855,671.416,165.899,681.3789999999999,f,3.0190000000000055,0.0,False,f,162.855,True
77,1,2,4,WMHEFG+CMR10,9.963,168.918,671.416,172.793,681.3789999999999,t,0.0,0.0,True,t,168.918,False
78,1,2,4,WMHEFG+CMR10,9.963,172.793,671.416,178.328,681.3789999999999,h,0.0,0.0,True,h,172.793,False
79,1,2,4,WMHEFG+CMR10,9.963,178.328,671.416,182.755,681.3789999999999,e,3.0190000000000055,0.0,False,e,178.328,True
80,1,2,4,WMHEFG+CMR10,9.963,185.774,671.416,191.30900000000003,681.3789999999999,d,0.0,0.0,True,d,185.774,False
81,1,2,4,WMHEFG+CMR10,9.963,191.30900000000003,671.416,196.29,681.3789999999999,o,0.2690000000000339,0.0,True,o,191.30900000000003,False
82,1,2,4,WMHEFG+CMR10,9.963,196.55900000000003,671.416,200.987,681.3789999999999,c,0.0,0.0,True,document,157.874,False
83,1,2,4,WMHEFG+CMR10,9.963,200.987,671.416,206.52200000000002,681.3789999999999,u,0.0,0.0,True,u,200.987,False
84,1,2,4,WMHEFG+CMR10,9.963,206.52200000000002,671.416,214.824,681.3789999999999,m,0.0,0.0,True,m,206.52200000000002,False
85,1,2,4,WMHEFG+CMR10,9.963,214.824,671.416,219.25099999999998,681.3789999999999,e,0.0,0.0,True,e,214.824,False
86,1,2,4,WMHEFG+CMR10,9.963,219.25099999999998,671.416,224.78599999999997,681.3789999999999,n,-0.26899999999997704,0.0,True,will,200.987,False
87,1,2,4,WMHEFG+CMR10,9.963,224.517,671.416,228.392,681.3789999999999,t,3.0080000000000098,0.0,False,t,224.517,True
88,1,2,4,WMHEFG+CMR10,9.963,231.4,671.416,238.595,681.3789999999999,w,0.0,0.0,True,w,231.4,False
89,1,2,4,WMHEFG+CMR10,9.963,238.595,671.416,241.363,681.3789999999999,i,0.0,0.0,True,i,238.595,False
90,1,2,4,WMHEFG+CMR10,9.963,241.363,671.416,244.13099999999997,681.3789999999999,l,0.0,0.0,True,have,224.517,False
91,1,2,4,WMHEFG+CMR10,9.963,244.13099999999997,671.416,246.898,681.3789999999999,l,3.0190000000000055,0.0,False,l,244.13099999999997,True
92,1,2,4,WMHEFG+CMR10,9.963,249.917,671.416,255.452,681.3789999999999,h,0.0,0.0,True,h,249.917,False
93,1,2,4,WMHEFG+CMR10,9.963,255.452,671.416,260.433,681.3789999999999,a,-0.27800000000002,0.0,True,a,255.452,False
94,1,2,4,WMHEFG+CMR10,9.963,260.155,671.416,265.413,681.3789999999999,v,-0.26900000000000546,0.0,True,v,260.155,False
95,1,2,4,WMHEFG+CMR10,9.963,265.144,671.416,269.57099999999997,681.3789999999999,e,3.0190000000000055,0.0,False,e,265.144,True
96,1,2,4,WMHEFG+CMR10,9.963,272.59,671.416,278.125,681.3789999999999,n,0.0,0.0,True,normal,244.13099999999997,False
97,1,2,4,WMHEFG+CMR10,9.963,278.125,671.416,283.106,681.3789999999999,o,0.0,0.0,True,o,278.125,False
98,1,2,4,WMHEFG+CMR10,9.963,283.106,671.416,287.009,681.3789999999999,r,-0.009999999999990905,0.0,True,r,283.106,False
99,1,2,4,WMHEFG+CMR10,9.963,286.999,671.416,295.301,681.3789999999999,m,0.009999999999990905,0.0,True,m,286.999,False
100,1,2,4,WMHEFG+CMR10,9.963,295.311,671.416,300.29200000000003,681.3789999999999,a,0.0,0.0,True,a,295.311,False
101,1,2,4,WMHEFG+CMR10,9.963,300.29200000000003,671.416,303.059,681.3789999999999,l,3.0089999999999577,0.0,False,text.,278.125,True
102,1,2,4,WMHEFG+CMR10,9.963,306.068,671.416,309.943,681.3789999999999,t,0.0,0.0,True,t,306.068,False
103,1,2,4,WMHEFG+CMR10,9.963,309.943,671.416,314.37,681.3789999999999,e,0.0,0.0,True,e,309.943,False
104,1,2,4,WMHEFG+CMR10,9.963,314.37,671.416,319.628,681.3789999999999,x,0.0,0.0,True,x,314.37,False
105,1,2,4,WMHEFG+CMR10,9.963,319.628,671.416,323.503,681.3789999999999,t,0.0,0.0,True,This,306.068,False
106,1,2,4,WMHEFG+CMR10,9.963,323.503,671.416,326.27,681.3789999999999,.,4.33400000000006,0.0,False,.,323.503,True
107,1,2,4,WMHEFG+CMR10,9.963,330.60400000000004,671.416,337.79900000000004,681.3789999999999,T,0.0,0.0,True,T,330.60400000000004,False
108,1,2,4,WMHEFG+CMR10,9.963,337.79900000000004,671.416,343.334,681.3789999999999,h,0.0,0.0,True,h,337.79900000000004,False
109,1,2,4,WMHEFG+CMR10,9.963,343.334,671.416,346.102,681.3789999999999,i,0.0,0.0,True,i,343.334,False
110,1,2,4,WMHEFG+CMR10,9.963,346.102,671.416,350.031,681.3789999999999,s,3.0090000000000146,0.0,False,s,346.102,True
111,1,2,4,WMHEFG+CMR10,9.963,353.04,671.416,356.969,681.3789999999999,s,0.010000000000047748,0.0,True,s,353.04,False
112,1,2,4,WMHEFG+CMR10,9.963,356.97900000000004,671.416,361.406,681.3789999999999,e,0.0,0.0,True,section,323.503,False
113,1,2,4,WMHEFG+CMR10,9.963,361.406,671.416,365.834,681.3789999999999,c,0.0,0.0,True,c,361.406,False
114,1,2,4,WMHEFG+CMR10,9.963,365.834,671.416,369.708,681.3789999999999,t,0.0,0.0,True,is,361.406,False
115,1,2,4,WMHEFG+CMR10,9.963,369.708,671.416,372.476,681.3789999999999,i,0.0,0.0,True,i,369.708,False
116,1,2,4,WMHEFG+CMR10,9.963,372.476,671.416,377.457,681.3789999999999,o,0.0,0.0,True,o,372.476,False
117,1,2,4,WMHEFG+CMR10,9.963,377.457,671.416,382.99199999999996,681.3789999999999,n,3.0090000000000146,0.0,False,n,377.457,True
118,1,2,4,WMHEFG+CMR10,9.963,386.001,671.416,388.769,681.3789999999999,i,0.0,0.0,True,i,386.001,False
119,1,2,4,WMHEFG+CMR10,9.963,388.769,671.416,392.69800000000004,681.3789999999999,s,3.0189999999999486,0.0,False,s,388.769,True
120,1,2,4,WMHEFG+CMR10,9.963,395.717,671.416,401.25199999999995,681.3789999999999,h,0.0,0.0,True,h,395.717,False
121,1,2,4,WMHEFG+CMR10,9.963,401.25199999999995,671.416,405.67900000000003,681.3789999999999,e,0.0,0.0,True,heading,369.708,False
122,1,2,4,WMHEFG+CMR10,9.963,405.67900000000003,671.416,410.661,681.3789999999999,a,0.0,0.0,True,a,405.67900000000003,False
123,1,2,4,WMHEFG+CMR10,9.963,410.661,671.416,416.19599999999997,681.3789999999999,d,0.0,0.0,True,d,410.661,False
124,1,2,4,WMHEFG+CMR10,9.963,416.19599999999997,671.416,418.963,681.3789999999999,i,0.0,0.0,True,i,416.19599999999997,False
125,1,2,4,WMHEFG+CMR10,9.963,418.963,671.416,424.499,681.3789999999999,n,0.0,0.0,True,n,418.963,False
126,1,2,4,WMHEFG+CMR10,9.963,424.499,671.416,429.48,681.3789999999999,g,3.0190000000000055,0.0,False,level,405.67900000000003,True
127,1,2,4,WMHEFG+CMR10,9.963,432.499,671.416,435.26599999999996,681.3789999999999,l,0.0,0.0,True,l,432.499,False
128,1,2,4,WMHEFG+CMR10,9.963,435.26599999999996,671.416,439.694,681.3789999999999,e,0.0,0.0,True,2.,432.499,False
129,1,2,4,WMHEFG+CMR10,9.963,439.694,671.416,444.952,681.3789999999999,v,-0.27899999999999636,0.0,True,v,439.694,False
130,1,2,4,WMHEFG+CMR10,9.963,444.673,671.416,449.1,681.3789999999999,e,0.0,0.0,True,So,439.694,False
131,1,2,4,WMHEFG+CMR10,9.963,449.1,671.416,451.86800000000005,681.3789999999999,l,3.0189999999998918,0.0,False,l,449.1,True
132,1,2,4,WMHEFG+CMR10,9.963,454.88699999999994,671.416,459.86800000000005,681.3789999999999,2,0.0,0.0,True,2,454.88699999999994,False
133,1,2,4,WMHEFG+CMR10,9.963,459.86800000000005,671.416,462.635,681.3789999999999,.,4.324000000000012,0.0,False,.,459.86800000000005,True
134,1,2,4,WMHEFG+CMR10,9.963,466.959,671.416,472.494,681.3789999999999,S,0.0,0.0,True,this,449.1,False
135,1,2,4,WMHEFG+CMR10,9.963,472.494,671.416,477.476,681.3789999999999,o,-343.70799999999997,-11.955000000000041,False,o,472.494,True
136,1,2,5,WMHEFG+CMR10,9.963,133.768,659.461,137.642,669.424,t,0.0,0.0,True,is,472.494,False
137,1,2,5,WMHEFG+CMR10,9.963,137.642,659.461,143.178,669.424,h,0.0,0.0,True,h,137.642,False
