,page,txtbox,textline,font,szie,y1,x2,y2,xspace,yspace,words,wx1
361,1,8,16,WMHEFG+CMR10,9.963,557.193,381.935,567.156,3.3169999999999504,0.0,third,360.349
365,1,8,16,WMHEFG+CMR10,9.963,557.193,401.35900000000004,567.156,-192.30400000000003,-12.353999999999928,A,397.43
327,1,6,12,WMHEFG+CMR10,9.963,544.839,216.52700000000002,554.802,3.3170000000000073,0.0,A,209.055
332,1,6,12,WMHEFG+CMR10,9.963,544.839,241.459,554.802,3.328000000000003,0.0,d,235.924
335,1,6,12,WMHEFG+CMR10,9.963,544.839,260.587,554.802,34.382000000000005,0.0,another,223.71900000000002
339,1,7,14,WMHEFG+CMR10,9.963,544.839,302.441,554.802,51.43300000000005,0.0,A,294.969
371,1,9,17,WMHEFG+CMR10,9.963,544.839,385.147,554.802,-251.379,-21.86200000000008,beyond,353.874
375,1,10,18,WMHEFG+CMR10,9.963,522.977,157.014,532.94,3.3170000000000073,0.0,Some,133.768
381,1,10,18,WMHEFG+CMR10,9.963,522.977,190.801,532.94,3.326999999999998,0.0,normal,160.33100000000002
385,1,10,18,WMHEFG+CMR10,9.963,522.977,211.563,532.94,3.3179999999999836,0.0,text,194.128
394,1,10,18,WMHEFG+CMR10,9.963,522.977,253.623,532.94,3.3179999999999836,0.0,following,214.88099999999997
400,1,10,18,WMHEFG+CMR10,9.963,522.977,281.29400000000004,532.94,21.838999999999942,-385.655,table.,256.941
401,1,11,19,WMHEFG+CMR10,9.963,137.322,308.11400000000003,147.285,-174.34600000000003,567.02,1,303.133
