,font,size,y1,y2,x1,x2,char,xspace,yspace
139,XPCBJJ+CMR10,9.963,563.0169999999999,572.98,253.49,256.257,l,3.3179999999999836,0.0
140,XPCBJJ+CMR10,9.963,563.0169999999999,572.98,259.575,264.556,2,0.0,0.0
141,XPCBJJ+CMR10,9.963,563.0169999999999,572.98,264.556,267.324,.,4.423000000000002,0.0
142,XPCBJJ+CMR10,9.963,563.0169999999999,572.98,271.747,277.282,S,0.0,0.0
143,XPCBJJ+CMR10,9.963,563.0169999999999,572.98,277.282,282.264,o,3.326999999999998,0.0
144,XPCBJJ+CMR10,9.963,563.0169999999999,572.98,285.591,289.466,t,0.0,0.0
145,XPCBJJ+CMR10,9.963,563.0169999999999,572.98,289.466,295.001,h,0.0,0.0
146,XPCBJJ+CMR10,9.963,563.0169999999999,572.98,295.001,297.768,i,0.0,0.0
147,XPCBJJ+CMR10,9.963,563.0169999999999,572.98,297.768,301.698,s,3.3170000000000073,0.0
148,XPCBJJ+CMR10,9.963,563.0169999999999,572.98,305.015,307.783,i,0.0,0.0
149,XPCBJJ+CMR10,9.963,563.0169999999999,572.98,307.783,311.712,s,3.3179999999999836,0.0
150,XPCBJJ+CMR10,9.963,563.0169999999999,572.98,315.03,318.959,s,0.0,0.0
151,XPCBJJ+CMR10,9.963,563.0169999999999,572.98,318.959,323.94,o,0.0,0.0
152,XPCBJJ+CMR10,9.963,563.0169999999999,572.98,323.94,332.24199999999996,m,0.0,0.0
153,XPCBJJ+CMR10,9.963,563.0169999999999,572.98,332.24199999999996,336.66900000000004,e,3.3279999999999177,0.0
154,XPCBJJ+CMR10,9.963,563.0169999999999,572.98,339.99699999999996,343.871,t,0.0,0.0
155,XPCBJJ+CMR10,9.963,563.0169999999999,572.98,343.871,348.29900000000004,e,0.0,0.0
156,XPCBJJ+CMR10,9.963,563.0169999999999,572.98,348.29900000000004,353.55699999999996,x,0.0,0.0
157,XPCBJJ+CMR10,9.963,563.0169999999999,572.98,353.55699999999996,357.431,t,3.3180000000000405,0.0
158,XPCBJJ+CMR10,9.963,563.0169999999999,572.98,360.749,363.517,i,0.0,0.0
159,XPCBJJ+CMR10,9.963,563.0169999999999,572.98,363.517,369.05199999999996,n,3.317000000000064,0.0
160,XPCBJJ+CMR10,9.963,563.0169999999999,572.98,372.369,376.244,t,0.0,0.0
161,XPCBJJ+CMR10,9.963,563.0169999999999,572.98,376.244,381.779,h,0.0,0.0
162,XPCBJJ+CMR10,9.963,563.0169999999999,572.98,381.779,384.54699999999997,i,0.0,0.0
163,XPCBJJ+CMR10,9.963,563.0169999999999,572.98,384.54699999999997,388.476,s,3.327000000000055,0.0
164,XPCBJJ+CMR10,9.963,563.0169999999999,572.98,391.80300000000005,395.733,s,0.0,0.0
165,XPCBJJ+CMR10,9.963,563.0169999999999,572.98,395.733,400.16,e,0.0,0.0
166,XPCBJJ+CMR10,9.963,563.0169999999999,572.98,400.16,404.587,c,0.0,0.0
167,XPCBJJ+CMR10,9.963,563.0169999999999,572.98,404.587,408.462,t,0.0,0.0
168,XPCBJJ+CMR10,9.963,563.0169999999999,572.98,408.462,411.22900000000004,i,0.0,0.0
169,XPCBJJ+CMR10,9.963,563.0169999999999,572.98,411.22900000000004,416.211,o,0.0,0.0
170,XPCBJJ+CMR10,9.963,563.0169999999999,572.98,416.211,421.746,n,0.0,0.0
171,XPCBJJ+CMR10,9.963,563.0169999999999,572.98,421.746,424.514,.,-290.746,0.0
172,SXMFFW+CMBX12,11.967,534.743,546.71,133.768,140.493,2,0.0,-28.273999999999887
173,SXMFFW+CMBX12,11.967,534.743,546.71,140.493,144.22899999999998,.,0.0,0.0
174,SXMFFW+CMBX12,11.967,534.743,546.71,144.22899999999998,150.954,1,13.448999999999984,0.0
175,SXMFFW+CMBX12,11.967,534.743,546.71,164.403,174.919,H,0.0,0.0
176,SXMFFW+CMBX12,11.967,534.743,546.71,174.919,181.644,3,-47.876000000000005,0.0
177,XPCBJJ+CMR10,9.963,516.739,526.702,133.768,140.963,T,-0.8269999999999982,-18.00400000000002
178,XPCBJJ+CMR10,9.963,516.739,526.702,140.136,145.11700000000002,o,0.27899999999999636,0.0
179,XPCBJJ+CMR10,9.963,516.739,526.702,145.39600000000002,150.378,o,0.0,0.0
180,XPCBJJ+CMR10,9.963,516.739,526.702,150.378,153.145,l,-0.010000000000019327,0.0
181,XPCBJJ+CMR10,9.963,516.739,526.702,153.135,157.065,s,4.1839999999999975,0.0
182,XPCBJJ+CMR10,9.963,516.739,526.702,161.249,164.293,f,0.0,0.0
